N°;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
51;Pose portes;3 jours;Jeu 20/01/11;Lun 24/01/11;70FD-2 sm;53FD-1 sm
52;Pose trappes de visite;3 jours;Jeu 09/12/10;Lun 13/12/10;50FD+2 sm;
53;Pose garde-corps escalier duplex;4 jours;Mar 18/01/11;Ven 21/01/11;51FD-1 sm;
54;Pose plinthes bois;12 jours;Mar 22/02/11;Mer 09/03/11;64FD-7 jours;"88;55DD"
55;Equipements / Quincaillerie des portes;1 sm;Mar 22/02/11;Lun 28/02/11;54DD;
56;09 / CARRELAGE - FAÏENCE;50 jours;Lun 20/09/10;Mer 01/12/10;;
57;Choix carrelage MO / Moe;0 jour;Lun 20/09/10;Lun 20/09/10;58DD-5 sm;
58;Pose carrelage;3 sm;Lun 25/10/10;Mer 17/11/10;46DD+3 sm;"59FD-1 sm;57DD-5 sm"
59;Pose faïence;2 sm;Mar 09/11/10;Mer 24/11/10;58FD-1 sm;60
60;Finitions;1 sm;Jeu 25/11/10;Mer 01/12/10;59;
61;10 / SOLS COLLES;35 jours;Jeu 13/01/11;Mer 02/03/11;;
62;Choix des sols MO / Moe;0 jour;Jeu 13/01/11;Jeu 13/01/11;64DD-4 sm;
63;Ragréage;1 sm;Jeu 03/02/11;Mer 09/02/11;70;"64;66DD"
64;Pose revêtement de sol souple;15 jours;Jeu 10/02/11;Mer 02/03/11;63;"65FF;54FD-7 jours;62DD-4 sm"
65;Pose revêtement sur escaliers;2 jours;Mar 01/03/11;Mer 02/03/11;64FF;
66;Traitement d'imperméabilisation dans douches;3 jours;Jeu 03/02/11;Lun 07/02/11;63DD;67FD+2 jours
67;Pose revêtement dans douche;1 sm;Jeu 10/02/11;Mer 16/02/11;66FD+2 jours;
68;11 / PEINTURE;45 jours;Jeu 02/12/10;Mer 16/02/11;;
69;Préparations;2 sm;Jeu 02/12/10;Mer 15/12/10;48FD-1 sm;70
70;Peinture plafonds / murs logements;5 sm;Jeu 16/12/10;Mer 02/02/11;69;"72FD-1 sm;73FF;71;63;51FD-2 sm"
71;Peinture plafonds / murs communs;2 sm;Jeu 03/02/11;Mer 16/02/11;70;44FD+1 sm
72;Peinture sur ouvrages bois;2 sm;Jeu 27/01/11;Mer 09/02/11;70FD-1 sm;
73;Peinture tuyauteries;1 sm;Jeu 27/01/11;Mer 02/02/11;70FF;
74;12 / ECHAFAUDAGE;133 jours;Mer 05/05/10;Mer 01/12/10;;
75;OS Arrêt de chantier;0 jour;Mer 05/05/10;Mer 05/05/10;;76
76;ARRET DE CHANTIER EN RAISON ABSENCE ECHAFAUDAGE;43 jours;Mer 05/05/10;Ven 02/07/10;75;77
77;Montage échafaudage;2 sm;Lun 05/07/10;Ven 16/07/10;76;"31;18DD+3 sm;173"
78;Démontage échafaudage;1 sm;Jeu 25/11/10;Mer 01/12/10;81;82
79;13 / ENDUIT EXTERIEUR;35 jours;Lun 18/10/10;Mer 08/12/10;;
80;Crépis;1 sm;Lun 18/10/10;Ven 22/10/10;38FD+1 sm;"81FD+3 sm;176;19"
81;Peinture;1 sm;Jeu 18/11/10;Mer 24/11/10;80FD+3 sm;"33;78;43FD+1 sm"
82;Finitions;1 sm;Jeu 02/12/10;Mer 08/12/10;78;
83;14 / ASCENSEUR;181 jours;Jeu 27/05/10;Mer 16/03/11;;
84;Réception gaine d'ascenseur;0 jour;Jeu 27/05/10;Jeu 27/05/10;17FD+2 sm;
85;Montage cabine;6 sm;Mer 20/10/10;Ven 03/12/10;34FD+12 jours;
86;Essais techniques;1 sm;Jeu 10/03/11;Mer 16/03/11;99DD;
87;15 / NETTOYAGE ;8 jours;Jeu 10/03/11;Lun 21/03/11;;
88;Nettoyage complet du bâtiment;8 jours;Jeu 10/03/11;Lun 21/03/11;54;100
89;16 / CHAUFFAGE - VENTILATION - SANITAIRE - SOLAIRE;251 jours;Ven 19/02/10;Mer 16/03/11;;
90;Incorporations GO;3 mois;Ven 19/02/10;Jeu 13/05/10;10DD;
91;Distribution;4 mois;Lun 04/10/10;Mer 09/02/11;46DD;92
92;Appareillage ;3 sm;Jeu 10/02/11;Mer 02/03/11;91;
93;Essais techniques;1 sm;Jeu 10/03/11;Mer 16/03/11;99DD;
94;17 / ELECTRICITE;251 jours;Ven 19/02/10;Mer 16/03/11;;
95;Incorporations GO;3 mois;Ven 19/02/10;Jeu 13/05/10;10DD;
96;Distribution;4 mois;Lun 04/10/10;Mer 09/02/11;46DD;97FD-1 sm
97;Appareillage ;3 sm;Jeu 03/02/11;Mer 23/02/11;96FD-1 sm;98
98;CONSUEL;2 sm;Jeu 24/02/11;Mer 09/03/11;97;99
99;Essais techniques;1 sm;Jeu 10/03/11;Mer 16/03/11;98;"86DD;93DD"
100;OPR;0 jour;Lun 21/03/11;Lun 21/03/11;88;101
101;PARACHEVEMENT;3 sm;Mar 22/03/11;Lun 11/04/11;100;102
102;RECEPTION BATIMENT E;0 jour;Lun 11/04/11;Lun 11/04/11;101;
103;;;;;;
104;BÂTIMENT D;271 jours;Ven 19/03/10;Ven 13/05/11;;
105;01 / GROS-ŒUVRE;181 jours;Ven 19/03/10;Mer 05/01/11;;
106;Fondations;2 sm;Ven 19/03/10;Jeu 01/04/10;10FD+10 jours;"107DD+5 jours;186DD;191DD"
107;Elévations + dallage s-sol;2 sm;Ven 26/03/10;Jeu 08/04/10;106DD+5 jours;"108;202FD+10 jours"
108;Dalle haute s-sol;2 sm;Ven 09/04/10;Jeu 22/04/10;107;109
109;Elévation RdC;2 sm;Ven 23/04/10;Jeu 06/05/10;108;110
110;Dalle haute RdC;1 sm;Ven 07/05/10;Jeu 13/05/10;109;111
111;Elévations R+1;2 sm;Ven 14/05/10;Jeu 27/05/10;110;112
112;Dalle haute R+1;1 sm;Ven 28/05/10;Jeu 03/06/10;111;113
113;Elévations R+2;2 sm;Ven 04/06/10;Jeu 17/06/10;112;114
114;Dalle haute R+2;1 sm;Ven 18/06/10;Jeu 24/06/10;113;115
115;Elévations Attique;1 sm;Ven 25/06/10;Jeu 01/07/10;114;180FD+2 sm
116;Structures métallique des balcons;2 sm;Lun 23/08/10;Ven 03/09/10;18FD-1 sm;"140;211"
117;Platelage bois des balcons;1 sm;Mar 02/11/10;Lun 08/11/10;176;"118;126"
118;Finitions sur consignes Moe;6 sm;Mar 09/11/10;Mer 05/01/11;117;
119;03 / CHARPENTE - MURS OSSATURE BOIS - BARDAGE;58 jours;Lun 06/09/10;Lun 29/11/10;;
120;Plans PAC;0 jour;Lun 06/09/10;Lun 06/09/10;121DF;
121;Commande ;2 sm;Lun 06/09/10;Lun 20/09/10;122DF;120DF
122;Fabrication;1 sm;Lun 20/09/10;Lun 27/09/10;123DF;121DF
123;Pose murs bois;1 sm;Lun 27/09/10;Ven 01/10/10;129FD+2 sm;"122DF;124"
124;Pose charpente ;1 sm;Lun 04/10/10;Ven 08/10/10;123;125FD-2 jours
125;Pose volige;1 sm;Jeu 07/10/10;Mer 13/10/10;124FD-2 jours;128
126;Réalisation bardage;13 jours;Mar 09/11/10;Lun 29/11/10;117;
127;04 / COUVERTURE - ETANCHEITE - ZINGUERIE;70 jours;Lun 30/08/10;Mer 08/12/10;;
128;Pose isolant + étanchéité;1 sm;Jeu 14/10/10;Mer 20/10/10;125;"132;144FD+2 jours;136DD-1 sm"
129;Etanchéité terrasses;2 sm;Lun 30/08/10;Ven 10/09/10;173FD+1 sm;"130;123FD+2 sm"
130;Pose dalles sur plots;1 sm;Lun 13/09/10;Ven 17/09/10;129;
131;Zinguerie;1 sm;Jeu 02/12/10;Mer 08/12/10;177;
132;Hors d'eau;0 jour;Mer 20/10/10;Mer 20/10/10;128;181FD+2 sm
133;05 / MENUISERIES EXTERIEURES BOIS;45 jours;Jeu 26/08/10;Mer 27/10/10;;
134;Plans PAC;0 jour;Jeu 26/08/10;Jeu 26/08/10;135DF;
135;Fabrication / Commande;6 sm;Jeu 26/08/10;Jeu 07/10/10;136DF;134DF
136;Pose châssis;2 sm;Jeu 07/10/10;Mer 20/10/10;128DD-1 sm;"135DF;137"
137;Finitions;1 sm;Jeu 21/10/10;Mer 27/10/10;136;138
138;Hors d'air;0 jour;Mer 27/10/10;Mer 27/10/10;137;
139;06 / SERRURERIE - METALLERIE (sur cons OPC);130 jours;Lun 06/09/10;Mer 23/03/11;;
140;Pose garde-corps balcons;1 sm;Lun 06/09/10;Ven 10/09/10;116;
141;Pose murs rideaux;1 sm;Jeu 09/12/10;Mer 15/12/10;177FD+1 sm;
142;Pose mains courantes;1 sm;Jeu 17/03/11;Mer 23/03/11;169FD+1 sm;
143;07 / CLOISONS - DOUBLAGES - FAUX PLAFONDS;45 jours;Lun 25/10/10;Mer 12/01/11;;
144;Cloisons;5 sm;Lun 25/10/10;Mer 01/12/10;128FD+2 jours;"145FD-2 sm;148;156DD+3 sm;187DD;192DD"
145;Doublage;4 sm;Jeu 18/11/10;Mer 15/12/10;144FD-2 sm;146
146;Faux plafonds y c. soffites;2 sm;Jeu 16/12/10;Mer 12/01/11;145;167FD-1 sm
147;08 / MENUISERIE INTERIEURE BOIS;82 jours;Jeu 02/12/10;Ven 08/04/11;;
148;Pose blocs portes;2 sm;Jeu 02/12/10;Mer 15/12/10;144;150FD+2 sm
149;Pose portes ;3 jours;Jeu 10/02/11;Lun 14/02/11;168FD-2 sm;151FD-1 sm
150;Pose trappes de visite;3 jours;Jeu 13/01/11;Lun 17/01/11;148FD+2 sm;
151;Pose garde-corps escalier duplex;4 jours;Mar 08/02/11;Ven 11/02/11;149FD-1 sm;
152;Pose plinthes bois;12 jours;Jeu 24/03/11;Ven 08/04/11;162FD-1 sm;"153DD;184"
153;Equipements / Quincaillerie des portes;1 sm;Jeu 24/03/11;Mer 30/03/11;152DD;
154;09 / CARRELAGE - FAÏENCE;50 jours;Lun 11/10/10;Mer 05/01/11;;
155;Choix carrelage MO / MOe;0 jour;Lun 11/10/10;Lun 11/10/10;156DD-5 sm;
156;Pose carrelage;3 sm;Jeu 18/11/10;Mer 08/12/10;144DD+3 sm;"155DD-5 sm;157FD-1 sm"
157;Pose faïence;2 sm;Jeu 02/12/10;Mer 15/12/10;156FD-1 sm;158
158;Finitions;1 sm;Jeu 16/12/10;Mer 05/01/11;157;
159;10 / SOLS COLLES;35 jours;Jeu 10/02/11;Mer 30/03/11;;
160;Choix sols MO / Moe;0 jour;Jeu 10/02/11;Jeu 10/02/11;162DD-4 sm;
161;Ragréage;2 sm;Jeu 24/02/11;Mer 09/03/11;168;"162;164DD"
162;Pose revêtement de sol souple;15 jours;Jeu 10/03/11;Mer 30/03/11;161;"163FF;152FD-1 sm;160DD-4 sm"
163;Pose revêtement sur escaliers;2 jours;Mar 29/03/11;Mer 30/03/11;162FF;
164;Traitement d'imperméabilisation dans douches;3 jours;Jeu 24/02/11;Lun 28/02/11;161DD;165FD+2 jours
165;Pose revêtement dans douche;1 sm;Jeu 03/03/11;Mer 09/03/11;164FD+2 jours;
166;11 / PEINTURE;45 jours;Jeu 06/01/11;Mer 09/03/11;;
167;Préparations;2 sm;Jeu 06/01/11;Mer 19/01/11;146FD-1 sm;168
168;Peinture plafonds / murs logements;5 sm;Jeu 20/01/11;Mer 23/02/11;167;"169;170FD-1 sm;171FF;161;149FD-2 sm"
169;Peinture plafonds / murs communs;2 sm;Jeu 24/02/11;Mer 09/03/11;168;142FD+1 sm
170;Peinture sur ouvrages bois;2 sm;Jeu 17/02/11;Mer 02/03/11;168FD-1 sm;
171;Peinture tuyauteries;1 sm;Jeu 17/02/11;Mer 23/02/11;168FF;
172;12 / ECHAFAUDAGE;85 jours;Lun 19/07/10;Mer 08/12/10;;
173;Montage échafaudage;2 sm;Lun 19/07/10;Ven 30/07/10;77;"129FD+1 sm;267FD+3 sm"
174;Démontage échafaudage;1 sm;Jeu 02/12/10;Mer 08/12/10;177;178
175;13 / ENDUIT EXTERIEUR;35 jours;Lun 25/10/10;Mer 15/12/10;;
176;Crépis;1 sm;Lun 25/10/10;Ven 29/10/10;80;"177FD+3 sm;270FD+1 sm;117"
177;Peinture;1 sm;Jeu 25/11/10;Mer 01/12/10;176FD+3 sm;"131;141FD+1 sm;174"
178;Finitions;1 sm;Jeu 09/12/10;Mer 15/12/10;174;
179;14 / ASCENSEUR;161 jours;Jeu 15/07/10;Mer 06/04/11;;
180;Réception gaine d'ascenseur;0 jour;Jeu 15/07/10;Jeu 15/07/10;115FD+2 sm;
181;Montage cabine;6 sm;Ven 05/11/10;Lun 03/01/11;132FD+2 sm;
182;Essais techniques;1 sm;Jeu 31/03/11;Mer 06/04/11;195DD;
183;15 / NETTOYAGE ;8 jours;Lun 11/04/11;Mer 20/04/11;;
184;Nettoyage complet du bâtiment;8 jours;Lun 11/04/11;Mer 20/04/11;152;196
185;16 / CHAUFFAGE - VENTILATION - SANITAIRE - SOLAIRE;246 jours;Ven 19/03/10;Mer 06/04/11;;
186;Incorporations GO;3 mois;Ven 19/03/10;Jeu 10/06/10;106DD;
187;Distribution;4 mois;Lun 25/10/10;Mer 02/03/11;144DD;188
188;Appareillage ;3 sm;Jeu 03/03/11;Mer 23/03/11;187;
189;Essais techniques;1 sm;Jeu 31/03/11;Mer 06/04/11;195DD;
190;17 / ELECTRICITE;246 jours;Ven 19/03/10;Mer 06/04/11;;
191;Incorporations GO;3 mois;Ven 19/03/10;Jeu 10/06/10;106DD;
192;Distribution;4 mois;Lun 25/10/10;Mer 02/03/11;144DD;193FD-1 sm
193;Appareillage ;3 sm;Jeu 24/02/11;Mer 16/03/11;192FD-1 sm;194
194;CONSUEL;2 sm;Jeu 17/03/11;Mer 30/03/11;193;195
195;Essais techniques;1 sm;Jeu 31/03/11;Mer 06/04/11;194;"189DD;182DD"
196;OPR;0 jour;Mer 20/04/11;Mer 20/04/11;184;197
197;PARACHEVEMENT;3 sm;Jeu 21/04/11;Ven 13/05/11;196;198
198;RECEPTION BATIMENT D;0 jour;Ven 13/05/11;Ven 13/05/11;197;
199;;;;;;
200;BÂTIMENT C;264 jours;Ven 23/04/10;Ven 10/06/11;;
201;01 / GROS-ŒUVRE;141 jours;Ven 23/04/10;Mer 01/12/10;;
202;Fondations;1 sm;Ven 23/04/10;Jeu 29/04/10;107FD+10 jours;"203;276DD;281DD"
203;Elévations + dallage RdC;2 sm;Ven 30/04/10;Jeu 13/05/10;202;"204;292FD+10 jours;210DD+2 sm"
204;Dalle haute RdC;2 sm;Ven 14/05/10;Jeu 27/05/10;203;205
205;Elévations R+1;2 sm;Ven 28/05/10;Jeu 10/06/10;204;206
206;Dalle haute R+1;1 sm;Ven 11/06/10;Jeu 17/06/10;205;207
207;Elévations R+2;1 sm;Ven 18/06/10;Jeu 24/06/10;206;208
208;Dalle haute R+2;2 sm;Ven 25/06/10;Jeu 08/07/10;207;209
209;Elévations Attique;1 sm;Ven 09/07/10;Jeu 15/07/10;208;213
210;Coursive RdC à Attique;9 sm;Ven 14/05/10;Jeu 15/07/10;203DD+2 sm;
211;Structures métallique des balcons;2 sm;Lun 06/09/10;Ven 17/09/10;116;235
212;Pose platelages bois des balcons;1 sm;Jeu 25/11/10;Mer 01/12/10;270;221FD+2 jours
213;Finitions sur consignes OPC;6 sm;Ven 16/07/10;Jeu 16/09/10;209;
214;03 / CHARPENTE - MURS OSSATURE BOIS - BARDAGE;65 jours;Lun 20/09/10;Mer 05/01/11;;
215;Plans PAC;0 jour;Lun 20/09/10;Lun 20/09/10;216DF;
216;Commande ;2 sm;Lun 20/09/10;Lun 04/10/10;217DF;215DF
217;Fabrication;1 sm;Lun 04/10/10;Lun 11/10/10;218DF;216DF
218;Pose murs bois;1 sm;Lun 11/10/10;Ven 15/10/10;224;"217DF;219"
219;Pose charpente ;1 sm;Lun 18/10/10;Ven 22/10/10;218;220FD-2 jours
220;Pose volige;1 sm;Jeu 21/10/10;Mer 27/10/10;219FD-2 jours;223
221;Réalisation bardage;13 jours;Lun 06/12/10;Mer 05/01/11;212FD+2 jours;
222;04 / COUVERTURE - ETANCHEITE - ZINGUERIE;55 jours;Lun 27/09/10;Mer 15/12/10;;
223;Pose isolant + étanchéité;2 sm;Jeu 28/10/10;Lun 15/11/10;220;227
224;Etanchéité terrasses;2 sm;Lun 27/09/10;Ven 08/10/10;267;"225;218"
225;Pose dalles sur plots;1 sm;Lun 11/10/10;Ven 15/10/10;224;
226;Zinguerie;1 sm;Jeu 09/12/10;Mer 15/12/10;271;
227;Hors d'eau;0 jour;Lun 15/11/10;Lun 15/11/10;223;239FD+7 jours
228;05 / MENUISERIES EXTERIEURES BOIS;45 jours;Lun 23/08/10;Ven 22/10/10;;
229;Plans PAC;0 jour;Lun 23/08/10;Lun 23/08/10;230DF;
230;Fabrication / Commande;6 sm;Lun 23/08/10;Lun 04/10/10;231DF;229DF
231;Pose châssis;2 sm;Lun 04/10/10;Ven 15/10/10;267FD+1 sm;"230DF;232"
232;Finitions;1 sm;Lun 18/10/10;Ven 22/10/10;231;233
233;Hors d'air;0 jour;Ven 22/10/10;Ven 22/10/10;232;
234;06 / SERRURERIE - METALLERIE (sur cons OPC);135 jours;Lun 20/09/10;Mer 13/04/11;;
235;Pose garde-corps balcons;1 sm;Lun 20/09/10;Ven 24/09/10;211;
236;Pose murs rideaux;1 sm;Jeu 16/12/10;Mer 05/01/11;271FD+1 sm;
237;Pose mains courantes;1 sm;Jeu 07/04/11;Mer 13/04/11;263FD+1 sm;
238;07 / CLOISONS - DOUBLAGES - FAUX PLAFONDS;45 jours;Jeu 25/11/10;Mer 09/02/11;;
239;Cloisons;5 sm;Jeu 25/11/10;Mer 12/01/11;227FD+7 jours;"240FD-2 sm;243;251DD+3 sm"
240;Doublage;4 sm;Jeu 16/12/10;Mer 26/01/11;239FD-2 sm;"241;261"
241;Faux plafonds y c. soffites;2 sm;Jeu 27/01/11;Mer 09/02/11;240;
242;08 / MENUISERIE INTERIEURE BOIS;77 jours;Jeu 13/01/11;Mar 03/05/11;;
243;Pose blocs portes;2 sm;Jeu 13/01/11;Mer 26/01/11;239;245FD+2 sm
244;Pose portes ;3 jours;Jeu 03/03/11;Lun 07/03/11;262FD-2 sm;246FD-1 sm
245;Pose trappes de visite;3 jours;Jeu 10/02/11;Lun 14/02/11;243FD+2 sm;
246;Pose garde-corps escalier duplex;4 jours;Mar 01/03/11;Ven 04/03/11;244FD-1 sm;
247;Pose plinthes bois;12 jours;Jeu 14/04/11;Mar 03/05/11;256FD-1 sm;"248DD;274"
248;Equipements / Quincaillerie des portes;1 sm;Jeu 14/04/11;Mer 20/04/11;247DD;
249;09 / CARRELAGE - FAÏENCE;50 jours;Mar 09/11/10;Mer 02/02/11;;
250;Choix carrelage MO / Moe;0 jour;Mar 09/11/10;Mar 09/11/10;251DD-5 sm;
251;Pose carrelage;3 sm;Jeu 16/12/10;Mer 19/01/11;239DD+3 sm;"250DD-5 sm;252FD-1 sm"
252;Pose faïence;2 sm;Jeu 13/01/11;Mer 26/01/11;251FD-1 sm;253
253;Finitions;1 sm;Jeu 27/01/11;Mer 02/02/11;252;
254;10 / SOLS COLLES;25 jours;Jeu 17/03/11;Mer 20/04/11;;
255;Ragréage;2 sm;Jeu 17/03/11;Mer 30/03/11;262;"256;258DD"
256;Pose revêtement de sol souple;15 jours;Jeu 31/03/11;Mer 20/04/11;255;"257FF;247FD-1 sm"
257;Pose revêtement sur escaliers;2 jours;Mar 19/04/11;Mer 20/04/11;256FF;
258;Traitement d'imperméabilisation dans douches;3 jours;Jeu 17/03/11;Lun 21/03/11;255DD;259
259;Pose revêtement dans douche;1 sm;Mar 22/03/11;Lun 28/03/11;258;
260;11 / PEINTURE;45 jours;Jeu 27/01/11;Mer 30/03/11;;
261;Préparations;2 sm;Jeu 27/01/11;Mer 09/02/11;240;262
262;Peinture plafonds / murs logements;5 sm;Jeu 10/02/11;Mer 16/03/11;261;"263;264FD-1 sm;265FF;255;244FD-2 sm"
263;Peinture plafonds / murs communs;2 sm;Jeu 17/03/11;Mer 30/03/11;262;237FD+1 sm
264;Peinture sur ouvrages bois;2 sm;Jeu 10/03/11;Mer 23/03/11;262FD-1 sm;
265;Peinture tuyauteries;1 sm;Jeu 10/03/11;Mer 16/03/11;262FF;
266;12 / ECHAFAUDAGE;65 jours;Lun 13/09/10;Mer 15/12/10;;
267;Montage échafaudage;2 sm;Lun 13/09/10;Ven 24/09/10;173FD+3 sm;"224;231FD+1 sm"
268;Démontage échafaudage;1 sm;Jeu 09/12/10;Mer 15/12/10;271;272
269;13 / ENDUIT EXTERIEUR;30 jours;Mar 09/11/10;Mer 05/01/11;;
270;Crépis;2 sm;Mar 09/11/10;Mer 24/11/10;176FD+1 sm;"271;363;212"
271;Peinture;2 sm;Jeu 25/11/10;Mer 08/12/10;270;"226;236FD+1 sm;268"
272;Finitions;1 sm;Jeu 16/12/10;Mer 05/01/11;268;
273;15 / NETTOYAGE ;8 jours;Mer 04/05/11;Ven 13/05/11;;
274;Nettoyage complet du bâtiment;8 jours;Mer 04/05/11;Ven 13/05/11;247;286FD+3 jours
275;16 / CHAUFFAGE - VENTILATION - SANITAIRE - SOLAIRE;225 jours;Ven 23/04/10;Mar 12/04/11;;
276;Incorporations GO;3 mois;Ven 23/04/10;Jeu 15/07/10;202DD;277
277;Distribution;7 mois;Ven 16/07/10;Mar 08/03/11;276;278
278;Appareillage ;3 sm;Mer 09/03/11;Mar 29/03/11;277;
279;Essais techniques;1 sm;Mer 06/04/11;Mar 12/04/11;285DD;
280;17 / ELECTRICITE;225 jours;Ven 23/04/10;Mar 12/04/11;;
281;Incorporations GO;3 mois;Ven 23/04/10;Jeu 15/07/10;202DD;282
282;Distribution;7 mois;Ven 16/07/10;Mar 08/03/11;281;283FD-1 sm
283;Appareillage ;3 sm;Mer 02/03/11;Mar 22/03/11;282FD-1 sm;284
284;CONSUEL;2 sm;Mer 23/03/11;Mar 05/04/11;283;285
285;Essais techniques;1 sm;Mer 06/04/11;Mar 12/04/11;284;279DD
286;OPR ;0 jour;Mer 18/05/11;Mer 18/05/11;274FD+3 jours;287
287;PARACHEVEMENT;3 sm;Jeu 19/05/11;Ven 10/06/11;286;288
288;RECEPTION BATIMENT C;0 jour;Ven 10/06/11;Ven 10/06/11;287;
289;;;;;;
290;BÂTIMENT B;235 jours;Ven 28/05/10;Lun 06/06/11;;
291;01 / GROS-ŒUVRE;123 jours;Ven 28/05/10;Ven 10/12/10;;
292;Fondations;1 sm;Ven 28/05/10;Jeu 03/06/10;203FD+10 jours;"293;369DD;374DD"
293;Elévations sous-sol;2 sm;Ven 04/06/10;Jeu 17/06/10;292;294
294;Dallage sous-sol;1 sm;Ven 18/06/10;Jeu 24/06/10;293;"295;385"
295;Dalle haute sous-sol;2 sm;Ven 25/06/10;Jeu 08/07/10;294;296
296;Elévations RdC;2 sm;Ven 09/07/10;Jeu 22/07/10;295;297
297;Dalle haute RdC;2 sm;Ven 23/07/10;Jeu 26/08/10;296;"298;303DD"
