"N° ";"Désignation";"Durée";"Début Souhaité";"Fin Souhaitée";"Prédécesseurs";"Successeurs";"Crit1";"Désign Crit1";"Crit2";"Désign Crit2";"Crit3";"Désign Crit3";"Crit4";"Désign Crit4";"Code tâche";"Coût +";"Coût -";
"19";"Installation de chantier";"15";"";"";"1FD-5,";"21FD-6,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"20";"Pose clôture chantier";"5";"";"";"1FD0,";"39DD0,21FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"21";"Dépose matériaux";"7";"";"";"19FD-6,20FD0,39FD0,40FD-3,";"22FD-5,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"22";"Démolition";"8";"";"";"9FD0,21FD-5,";"23FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"23";"Implantation";"2";"";"";"11FD0,22FD0,";"24FD-1,26FD0,27FD0,25FD0,46DD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"24";"Pose huisseries bâtis";"2";"";"";"12FD-3,23FD-1,";"28FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"25";"Modif. entrée pour plateau élévat.";"10";"";"";"23FD0,27DD0,";"41FD-4,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"26";"Reprise structure hall cuisson";"15";"";"";"23FD0,46DD2,";"49FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"27";"Reprise structure courettes";"15";"";"";"23FD0,";"25DD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"28";"Pose cloisons maçonneries";"12";"";"";"24FD0,";"29FD-5,47FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"29";"Pose cloisons doublages";"12";"";"";"28FD-5,";"49FD-5,48FD-7,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"30";"Carrelage sols murs sanitaires";"10";"";"";"47FD0,";"31FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"31";"Equipements provisoires sanitaires";"5";"";"";"30FD0,50FD-2,";"32FD0,13FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"32";"Fin démolition sanitaires";"2";"";"";"31FD0,";"33FD-1,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"33";"Carrelage sols";"20";"";"";"13FD0,32FD-1,48FD0,49FD-10,";"58FD-10,37FD0,34FD-4,51DD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-02--";"Sous/traité";"T-02---";"Sou-traité";"R---";"";"";"0.00";"0.00";
"34";"Cloisons vitrées habillages";"10";"";"";"33FD-4,";"35DD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-02--";"Sous/traité";"T-02---";"Sou-traité";"R---";"";"";"0.00";"0.00";
"35";"Revêtements extérieurs";"10";"";"";"34DD0,";"36FD-1,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-02--";"Sous/traité";"T-02---";"Sou-traité";"R---";"";"";"0.00";"0.00";
"36";"Pose habillages portes d'entrée";"7";"";"";"35FD-1,";"56FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-02--";"Sous/traité";"T-02---";"Sou-traité";"R---";"";"";"0.00";"0.00";
"37";"Pose menuiseries intérieures portes";"12";"";"";"33FD0,";"56FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-04---";"MENUISERIES BOIS";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"38";"Pose quincailleries";"5";"";"";"56FD0,";"57FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-04---";"MENUISERIES BOIS";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"39";"Coupure eau électricité";"5";"";"";"20DD0,";"21FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-05---";"ELECTRICITE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"40";"Dépose f/plafond hors service cable";"8";"";"";"1FD0,";"21FD-3,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-05---";"ELECTRICITE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"41";"Descentes incorporations électriq.";"15";"";"";"25FD-4,";"42FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-05---";"ELECTRICITE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"42";"Réseaux distribution électrique";"24";"";"";"41FD0,";"65DD4,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-05---";"ELECTRICITE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"43";"Pose luminaires";"8";"";"";"59FD-3,";"44FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-05---";"ELECTRICITE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"44";"Pose appareillages";"5";"";"";"43FD0,56FD0,";"57FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-05---";"ELECTRICITE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"45";"Exécution réseaux s/sol";"15";"";"";"8FD0,";"46FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-03-01--";"Base";"T-01---";"Base";"R---";"";"";"0.00";"0.00";
"46";"Déviation réseaux RDC";"12";"";"";"23DD0,45FD0,";"26DD2,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-06-02--";" Plomberie";"T-04---";"Plomberie";"R---";"";"";"0.00";"0.00";
"47";"Réseaux horizontaux PLB sanitaires";"5";"";"";"28FD0,";"50FD0,30FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-06-02--";" Plomberie";"T-04---";"Plomberie";"R---";"";"";"0.00";"0.00";
"48";"Nouveaux raccordements convecteurs";"18";"";"";"29FD-7,";"33FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-06-01--";"Chauffage";"T-03---";"Chauffage";"R---";"";"";"0.00";"0.00";
"49";"Réseau distribution extraction VMC";"30";"";"";"26FD0,29FD-5,";"33FD-10,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-06-02--";" Plomberie";"T-03---";"Chauffage";"R---";"";"";"0.00";"0.00";
"50";"Réseaux de distribution PLB";"12";"";"";"47FD0,";"31FD-2,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-06-02--";" Plomberie";"T-04---";"Plomberie";"R---";"";"";"0.00";"0.00";
"51";"Pose sanitaire";"10";"";"";"33DD0,";"52FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-06-02--";" Plomberie";"T-04---";"Plomberie";"R---";"";"";"0.00";"0.00";
"52";"Centrale de traitement d'air";"20";"";"";"51FD0,";"53DD5,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-06-01--";"Chauffage";"T-03---";"Chauffage";"R---";"";"";"0.00";"0.00";
"53";"Equipement local techniq. plomberie";"15";"";"";"52DD5,";"59FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-06-01--";"Chauffage";"T-04---";"Plomberie";"R---";"";"";"0.00";"0.00";
"54";"Pose bouches VMC";"5";"";"";"56FD0,";"55DD0,57FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-06-01--";"Chauffage";"T-03---";"Chauffage";"R---";"";"";"0.00";"0.00";
"55";"Pose robinetterie";"5";"";"";"54DD0,";"57FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-06-02--";" Plomberie";"T-04---";"Plomberie";"R---";"";"";"0.00";"0.00";
"56";"Pose parquet";"19";"";"";"36FD0,37FD0,59DD2,";"61FD0,54FD0,44FD0,38FD0,15FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-07---";"PARQUET";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"57";"Ponçage parquet";"5";"";"";"15FD-3,38FD0,44FD0,54FD0,55FD0,61FD0,64FD0,67FD0,68FD0,";"16FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-07---";"PARQUET";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"58";"Pose structure faux plafond - staff";"20";"";"";"33FD-10,";"60DD5,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-08---";"FAUX PLAFONDS";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"59";"Pose faux plafonds";"12";"";"";"53FD0,60FD-7,";"43FD-3,63FD-5,62FD-7,14FD-5,56DD2,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-08---";"FAUX PLAFONDS";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"60";"Enduit peinture";"23";"";"";"58DD5,66FD-1,";"59FD-7,";"P-02-02--";"TRAVAUX FINITION ";"I-09---";"PEINTURE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"61";"Peintures extérieures";"7";"";"";"56FD0,62FD0,";"57FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-09---";"PEINTURE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"62";"Pose habillages";"12";"";"";"59FD-7,";"61FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-03-01--";"Base";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"63";"Equipements cuisine";"19";"";"";"59FD-5,";"64FD-15,15FD-5,67FD-5,";"P-02-02--";"TRAVAUX FINITION ";"I-10---";"EQUIPEMENT CUISINE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"64";"Equipements laverie";"15";"";"";"63FD-15,";"57FD0,68DD5,";"P-02-02--";"TRAVAUX FINITION ";"I-10---";"EQUIPEMENT CUISINE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"65";"Structures chambres froides";"12";"";"";"42DD4,";"66FD0,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-11---";"CHAMBRE FROIDE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"66";"Isolation chambres froides";"12";"";"";"65FD0,";"60FD-1,";"P-02-01--";"TRAVAUX GO et SECONDAIRES";"I-11---";"CHAMBRE FROIDE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"67";"Fin équipements chambres froides";"5";"";"";"63FD-5,";"57FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-11---";"CHAMBRE FROIDE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"68";"Equipements distribution";"10";"";"";"64DD5,";"57FD0,";"P-02-02--";"TRAVAUX FINITION ";"I-10---";"EQUIPEMENT CUISINE";"T----";"TRIS";"R---";"";"";"0.00";"0.00";
"69";"Ordre de service";"1";"";"";"";"70FD0,71FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"";"";
"70";"Relevé sur place";"1";"";"";"69FD0,";"72FD0,";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"";"";
"71";"Plan exécution entreprises TCE";"14";"";"";"69FD0,";"";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"";"";
"72";"Etablissement fond de plan";"4";"";"";"70FD0,";"";"P-01-01--";"PREPARATION ";"I-02---";"T C E";"T----";"TRIS";"R---";"";"";"";"";
