N°;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
101;342 - ELECTRICITE;140 jours;Lun 29/11/10;Ven 10/06/11;;
102;Travaux sur consignes OPC;24 sm;Lun 29/11/10;Ven 13/05/11;48DD;103
103;Essais / Mise en service;4 sm;Lun 16/05/11;Ven 10/06/11;102;
104;350 - APPAREILS ELEVATEURS;170 jours;Lun 04/10/10;Ven 27/05/11;;
105;Travaux sur consignes OPC;4 sm;Lun 21/03/11;Ven 15/04/11;58FD+15 jours;106FD+20 jours
106;Essais / Mise en service;2 sm;Lun 16/05/11;Ven 27/05/11;105FD+20 jours;
107;350 - APPAREILS ELEVATEURS;50 jours;Lun 04/10/10;Ven 10/12/10;;
108;Travaux sur consignes OPC;4 sm;Lun 04/10/10;Ven 29/10/10;;109FD+20 jours
109;Essais / Mise en service;2 sm;Lun 29/11/10;Ven 10/12/10;108FD+20 jours;
110;351 - SIGNALETIQUE;2 sm;Lun 30/05/11;Ven 10/06/11;84;
111;352 - EXTINCTEURS / SIGNALETIQUE DE SECURITE;2 sm;Lun 30/05/11;Ven 10/06/11;84;
112;O.P.R.;0 jour;Ven 17/06/11;Ven 17/06/11;93;113
113;PARACHEVEMENT;3 sm;Lun 20/06/11;Ven 08/07/11;112;114
114;RECEPTION;0 jour;Ven 08/07/11;Ven 08/07/11;113;115
115;LEVEE DES RESERVES;3 sm;Lun 11/07/11;Ven 29/07/11;114;116
116;LIVRAISON;0 jour;Ven 29/07/11;Ven 29/07/11;115;
117;;;;;;
118;CONSTRUCTION BÂTIMENT R1 (GENIE CIVIL) y/c Réception;240 jours;Lun 27/12/10;Ven 25/11/11;;
119;302 - TERRASSEMENTS / V.R.D.;80 jours;Lun 02/05/11;Ven 19/08/11;;
120;Tâches Critiques;6 sm;Lun 02/05/11;Ven 10/06/11;142;121FD+30 jours
121;Tâches non ciritiques sur consignes OPC;4 sm;Lun 25/07/11;Ven 19/08/11;120FD+30 jours;123
122;303 - ESPACES VERTS;20 jours;Lun 22/08/11;Ven 16/09/11;;
123;Tâches non ciritiques sur consignes OPC;4 sm;Lun 22/08/11;Ven 16/09/11;121;
124;310 - GROS-ŒUVRE;100 jours;Lun 27/12/10;Ven 13/05/11;;
125;Tâches Critiques;8 sm;Lun 27/12/10;Ven 18/02/11;48DD+4 sm;"126;131;177DD;180DD;183DD;203DD+20 jours"
126;Tâches non ciritiques sur consignes OPC;12 sm;Lun 21/02/11;Ven 13/05/11;125;
127;311 - DALLAGE INDUSTRIEL;130 jours;Lun 02/05/11;Ven 28/10/11;;
128;Tâches Critiques;3 sm;Lun 02/05/11;Ven 20/05/11;"135;143";"129FD+20 sm;156;153;188FD+10 jours"
129;Tâches non ciritiques sur consignes OPC;3 sm;Lun 10/10/11;Ven 28/10/11;128FD+20 sm;
130;312 - CHARPENTE METALLIQUE;60 jours;Lun 21/02/11;Ven 13/05/11;;
131;Tâches Critiques;6 sm;Lun 21/02/11;Ven 01/04/11;125;"132;134;138;142"
132;Tâches non ciritiques sur consignes OPC;6 sm;Lun 04/04/11;Ven 13/05/11;131;
133;320 - COUVERTURE / ETANCHEITE;80 jours;Lun 04/04/11;Ven 22/07/11;;
134;Tâches Critiques;4 sm;Lun 04/04/11;Ven 29/04/11;131;135
135;HORS D'EAU;0 jour;Ven 29/04/11;Ven 29/04/11;134;"136;128"
136;Tâches non ciritiques sur consignes OPC;12 sm;Lun 02/05/11;Ven 22/07/11;135;
137;321 - MENUISERIE EXTERIEURE ALUMINIUM;90 jours;Lun 04/04/11;Ven 05/08/11;;
138;Tâches Critiques;6 sm;Lun 04/04/11;Ven 13/05/11;131;139
139;HORS D'AIR;0 jour;Ven 13/05/11;Ven 13/05/11;138;140
140;Tâches non ciritiques sur consignes OPC;12 sm;Lun 16/05/11;Ven 05/08/11;139;
141;322 - FACADES / BARDAGES METALLIQUES;80 jours;Lun 04/04/11;Ven 22/07/11;;
142;Tâches Critiques;20 jours;Lun 04/04/11;Ven 29/04/11;131;"143;146DD+10 jours;120"
143;HORS D'AIR;0 jour;Ven 29/04/11;Ven 29/04/11;142;"144;128;150"
144;Tâches non ciritiques sur consignes OPC;12 sm;Lun 02/05/11;Ven 22/07/11;143;
145;323 - FACADES BOIS;50 jours;Lun 18/04/11;Ven 24/06/11;;
146;Tâches Critiques;2 sm;Lun 18/04/11;Ven 29/04/11;142DD+10 jours;147
147;HORS D'AIR;0 jour;Ven 29/04/11;Ven 29/04/11;146;148FD+20 jours
148;Tâches non ciritiques sur consignes OPC;4 sm;Lun 30/05/11;Ven 24/06/11;147FD+20 jours;
149;324 - PORTES INDUSTRIELLES;50 jours;Lun 02/05/11;Ven 08/07/11;;
150;Tâches Critiques;3 sm;Lun 02/05/11;Ven 20/05/11;143;151FD+20 jours
151;Tâches non ciritiques sur consignes OPC;3 sm;Lun 20/06/11;Ven 08/07/11;150FD+20 jours;
152;330 - SERRURERIE / METALLERIE;70 jours;Lun 23/05/11;Ven 26/08/11;;
153;Tâches Critiques;4 sm;Lun 23/05/11;Ven 17/06/11;128;154
154;Tâches non ciritiques sur consignes OPC;10 sm;Lun 20/06/11;Ven 26/08/11;153;
155;331 - CLOISONS;30 jours;Lun 23/05/11;Ven 01/07/11;;
156;Tâches Critiques;4 sm;Lun 23/05/11;Ven 17/06/11;128;"157;162;168"
157;Tâches non ciritiques sur consignes OPC;2 sm;Lun 20/06/11;Ven 01/07/11;156;
158;332 - FAUX-PLAFONDS;30 jours;Lun 08/08/11;Ven 16/09/11;;
159;Tâches Critiques;3 sm;Lun 08/08/11;Ven 26/08/11;171;"160;165"
160;Tâches non ciritiques sur consignes OPC;3 sm;Lun 29/08/11;Ven 16/09/11;159;
161;333 - MENUISERIE INTERIEURE BOIS / AGENCEMENT;75 jours;Lun 20/06/11;Ven 30/09/11;;
162;Tâches Critiques;3 sm;Lun 20/06/11;Ven 08/07/11;156;"163FD+30 jours;171"
163;Tâches non ciritiques sur consignes OPC;6 sm;Lun 22/08/11;Ven 30/09/11;162FD+30 jours;
164;334 - REVÊTEMENT SOL SOUPLE;25 jours;Lun 29/08/11;Ven 30/09/11;;
165;Tâches Critiques;3 sm;Lun 29/08/11;Ven 16/09/11;159;166
166;Tâches non ciritiques sur consignes OPC;2 sm;Lun 19/09/11;Ven 30/09/11;165;
167;335 - CARRELAGE / FAÏENCE;60 jours;Lun 20/06/11;Ven 09/09/11;;
168;Tâches Critiques;4 sm;Lun 20/06/11;Ven 15/07/11;156;169FD+30 jours
169;Tâches non ciritiques sur consignes OPC;2 sm;Lun 29/08/11;Ven 09/09/11;168FD+30 jours;
170;336 - PEINTURE;50 jours;Lun 11/07/11;Ven 16/09/11;;
171;Tâches Critiques;4 sm;Lun 11/07/11;Ven 05/08/11;162;"172;159"
172;Tâches non ciritiques sur consignes OPC;6 sm;Lun 08/08/11;Ven 16/09/11;171;"174;185FF;186FF"
173;337 - NETTOYAGE;35 jours;Lun 19/09/11;Ven 04/11/11;;
174;Nettoyage avant OPR;1 sm;Lun 19/09/11;Ven 23/09/11;172;"190FD+5 jours;175FD+25 jours"
175;Nettoyage avant RECEPTION;1 sm;Lun 31/10/11;Ven 04/11/11;174FD+25 jours;
176;340 - GENIE CLIMATIQUE;190 jours;Lun 27/12/10;Ven 16/09/11;;
177;Travaux sur consignes OPC;30 sm;Lun 27/12/10;Ven 22/07/11;125DD;178
178;Essais / Mise en service;8 sm;Lun 25/07/11;Ven 16/09/11;177;
179;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;190 jours;Lun 27/12/10;Ven 16/09/11;;
180;Travaux sur consignes OPC;30 sm;Lun 27/12/10;Ven 22/07/11;125DD;181
181;Essais / Mise en service;8 sm;Lun 25/07/11;Ven 16/09/11;180;
182;342 - ELECTRICITE;190 jours;Lun 27/12/10;Ven 16/09/11;;
183;Travaux sur consignes OPC;30 sm;Lun 27/12/10;Ven 22/07/11;125DD;184
184;Essais / Mise en service;8 sm;Lun 25/07/11;Ven 16/09/11;183;
185;351 - SIGNALETIQUE;3 sm;Lun 29/08/11;Ven 16/09/11;172FF;
186;352 - EXTINCTEURS / SIGNALETIQUE DE SECURITE;3 sm;Lun 29/08/11;Ven 16/09/11;172FF;
187;356 - PONTS ROULANTS;70 jours;Lun 06/06/11;Ven 09/09/11;;
188;Tâches Critiques;4 sm;Lun 06/06/11;Ven 01/07/11;128FD+10 jours;189FD+30 jours
189;Tâches non ciritiques sur consignes OPC;4 sm;Lun 15/08/11;Ven 09/09/11;188FD+30 jours;
190;O.P.R.;0 jour;Ven 30/09/11;Ven 30/09/11;174FD+5 jours;191
191;PARACHEVEMENT;4 sm;Lun 03/10/11;Ven 28/10/11;190;192
192;RECEPTION;0 jour;Ven 28/10/11;Ven 28/10/11;191;193
193;LEVEE DES RESERVES;4 sm;Lun 31/10/11;Ven 25/11/11;192;194
194;LIVRAISON;0 jour;Ven 25/11/11;Ven 25/11/11;193;352
195;;;;;;
196;CONSTRUCTION BÂTIMENT N1 : BÂTIMENT (BOIS - COUVERTURE) y/c Réception;240 jours;Lun 24/01/11;Ven 23/12/11;;
197;302 - TERRASSEMENTS / V.R.D.;80 jours;Lun 30/05/11;Ven 16/09/11;;
198;Tâches Critiques;6 sm;Lun 30/05/11;Ven 08/07/11;223;199FD+30 jours
199;Tâches non ciritiques sur consignes OPC;4 sm;Lun 22/08/11;Ven 16/09/11;198FD+30 jours;201
200;303 - ESPACES VERTS;20 jours;Lun 19/09/11;Ven 14/10/11;;
201;Tâches non ciritiques sur consignes OPC;4 sm;Lun 19/09/11;Ven 14/10/11;199;
202;310 - GROS-ŒUVRE;100 jours;Lun 24/01/11;Ven 10/06/11;;
203;Tâches Critiques;8 sm;Lun 24/01/11;Ven 18/03/11;125DD+20 jours;"204;209;258DD;261DD;264DD;284DD+20 jours"
204;Tâches non ciritiques sur consignes OPC;12 sm;Lun 21/03/11;Ven 10/06/11;203;
205;311 - DALLAGE INDUSTRIEL;130 jours;Lun 30/05/11;Ven 25/11/11;;
206;Tâches Critiques;3 sm;Lun 30/05/11;Ven 17/06/11;"216;224";"207FD+20 sm;237;234;269FD+10 jours"
207;Tâches non ciritiques sur consignes OPC;3 sm;Lun 07/11/11;Ven 25/11/11;206FD+20 sm;
208;312 - CHARPENTE METALLIQUE;60 jours;Lun 21/03/11;Ven 10/06/11;;
209;Tâches Critiques;6 sm;Lun 21/03/11;Ven 29/04/11;203;"210;215;219;223;212DD"
210;Tâches non ciritiques sur consignes OPC;6 sm;Lun 02/05/11;Ven 10/06/11;209;
211;313 - CHARPENTE BOIS;60 jours;Lun 21/03/11;Ven 10/06/11;;
212;Tâches Critiques;6 sm;Lun 21/03/11;Ven 29/04/11;209DD;"213;215"
213;Tâches non ciritiques sur consignes OPC;6 sm;Lun 02/05/11;Ven 10/06/11;212;
214;320 - COUVERTURE / ETANCHEITE;80 jours;Lun 02/05/11;Ven 19/08/11;;
215;Tâches Critiques;4 sm;Lun 02/05/11;Ven 27/05/11;"209;212";216
216;HORS D'EAU;0 jour;Ven 27/05/11;Ven 27/05/11;215;"206;217"
217;Tâches non ciritiques sur consignes OPC;12 sm;Lun 30/05/11;Ven 19/08/11;216;
218;321 - MENUISERIE EXTERIEURE ALUMINIUM;90 jours;Lun 02/05/11;Ven 02/09/11;;
219;Tâches Critiques;6 sm;Lun 02/05/11;Ven 10/06/11;209;220
220;HORS D'AIR;0 jour;Ven 10/06/11;Ven 10/06/11;219;221
221;Tâches non ciritiques sur consignes OPC;12 sm;Lun 13/06/11;Ven 02/09/11;220;
222;322 - FACADES / BARDAGES METALLIQUES;80 jours;Lun 02/05/11;Ven 19/08/11;;
223;Tâches Critiques;20 jours;Lun 02/05/11;Ven 27/05/11;209;"198;227DD+10 jours;224"
224;HORS D'AIR;0 jour;Ven 27/05/11;Ven 27/05/11;223;"206;225;231"
225;Tâches non ciritiques sur consignes OPC;12 sm;Lun 30/05/11;Ven 19/08/11;224;
226;323 - FACADES BOIS;50 jours;Lun 16/05/11;Ven 22/07/11;;
227;Tâches Critiques;2 sm;Lun 16/05/11;Ven 27/05/11;223DD+10 jours;228
228;HORS D'AIR;0 jour;Ven 27/05/11;Ven 27/05/11;227;229FD+20 jours
229;Tâches non ciritiques sur consignes OPC;4 sm;Lun 27/06/11;Ven 22/07/11;228FD+20 jours;
230;324 - PORTES INDUSTRIELLES;50 jours;Lun 30/05/11;Ven 05/08/11;;
231;Tâches Critiques;3 sm;Lun 30/05/11;Ven 17/06/11;224;232FD+20 jours
232;Tâches non ciritiques sur consignes OPC;3 sm;Lun 18/07/11;Ven 05/08/11;231FD+20 jours;
233;330 - SERRURERIE / METALLERIE;70 jours;Lun 20/06/11;Ven 23/09/11;;
234;Tâches Critiques;4 sm;Lun 20/06/11;Ven 15/07/11;206;235
235;Tâches non ciritiques sur consignes OPC;10 sm;Lun 18/07/11;Ven 23/09/11;234;
236;331 - CLOISONS;30 jours;Lun 20/06/11;Ven 29/07/11;;
237;Tâches Critiques;4 sm;Lun 20/06/11;Ven 15/07/11;206;"238;243;249"
238;Tâches non ciritiques sur consignes OPC;2 sm;Lun 18/07/11;Ven 29/07/11;237;
239;332 - FAUX-PLAFONDS;30 jours;Lun 05/09/11;Ven 14/10/11;;
240;Tâches Critiques;3 sm;Lun 05/09/11;Ven 23/09/11;252;"241;246"
241;Tâches non ciritiques sur consignes OPC;3 sm;Lun 26/09/11;Ven 14/10/11;240;
242;333 - MENUISERIE INTERIEURE BOIS / AGENCEMENT;75 jours;Lun 18/07/11;Ven 28/10/11;;
243;Tâches Critiques;3 sm;Lun 18/07/11;Ven 05/08/11;237;"244FD+30 jours;252"
244;Tâches non ciritiques sur consignes OPC;6 sm;Lun 19/09/11;Ven 28/10/11;243FD+30 jours;
245;334 - REVÊTEMENT SOL SOUPLE;25 jours;Lun 26/09/11;Ven 28/10/11;;
246;Tâches Critiques;3 sm;Lun 26/09/11;Ven 14/10/11;240;247
247;Tâches non ciritiques sur consignes OPC;2 sm;Lun 17/10/11;Ven 28/10/11;246;
248;335 - CARRELAGE / FAÏENCE;60 jours;Lun 18/07/11;Ven 07/10/11;;
249;Tâches Critiques;4 sm;Lun 18/07/11;Ven 12/08/11;237;250FD+30 jours
250;Tâches non ciritiques sur consignes OPC;2 sm;Lun 26/09/11;Ven 07/10/11;249FD+30 jours;
251;336 - PEINTURE;50 jours;Lun 08/08/11;Ven 14/10/11;;
252;Tâches Critiques;4 sm;Lun 08/08/11;Ven 02/09/11;243;"240;253"
253;Tâches non ciritiques sur consignes OPC;6 sm;Lun 05/09/11;Ven 14/10/11;252;"255;266FF;267FF"
254;337 - NETTOYAGE;35 jours;Lun 17/10/11;Ven 02/12/11;;
255;Nettoyage avant OPR;1 sm;Lun 17/10/11;Ven 21/10/11;253;"271FD+5 jours;256FD+25 jours"
256;Nettoyage avant RECEPTION;1 sm;Lun 28/11/11;Ven 02/12/11;255FD+25 jours;
257;340 - GENIE CLIMATIQUE;190 jours;Lun 24/01/11;Ven 14/10/11;;
258;Travaux sur consignes OPC;30 sm;Lun 24/01/11;Ven 19/08/11;203DD;259
259;Essais / Mise en service;8 sm;Lun 22/08/11;Ven 14/10/11;258;
260;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;190 jours;Lun 24/01/11;Ven 14/10/11;;
261;Travaux sur consignes OPC;30 sm;Lun 24/01/11;Ven 19/08/11;203DD;262
262;Essais / Mise en service;8 sm;Lun 22/08/11;Ven 14/10/11;261;
263;342 - ELECTRICITE;190 jours;Lun 24/01/11;Ven 14/10/11;;
264;Travaux sur consignes OPC;30 sm;Lun 24/01/11;Ven 19/08/11;203DD;265
265;Essais / Mise en service;8 sm;Lun 22/08/11;Ven 14/10/11;264;
266;351 - SIGNALETIQUE;3 sm;Lun 26/09/11;Ven 14/10/11;253FF;
267;352 - EXTINCTEURS / SIGNALETIQUE DE SECURITE;3 sm;Lun 26/09/11;Ven 14/10/11;253FF;
268;356 - PONTS ROULANTS;70 jours;Lun 04/07/11;Ven 07/10/11;;
269;Tâches Critiques;4 sm;Lun 04/07/11;Ven 29/07/11;206FD+10 jours;270FD+30 jours
270;Tâches non ciritiques sur consignes OPC;4 sm;Lun 12/09/11;Ven 07/10/11;269FD+30 jours;
271;O.P.R.;0 jour;Ven 28/10/11;Ven 28/10/11;255FD+5 jours;272
272;PARACHEVEMENT;4 sm;Lun 31/10/11;Ven 25/11/11;271;273
273;RECEPTION;0 jour;Ven 25/11/11;Ven 25/11/11;272;274
274;LEVEE DES RESERVES;4 sm;Lun 28/11/11;Ven 23/12/11;273;275
275;LIVRAISON;0 jour;Ven 23/12/11;Ven 23/12/11;274;
276;;;;;;
277;CONSTRUCTION BÂTIMENT K1 (ENERGIE) y/c Réception;220 jours;Lun 21/02/11;Ven 23/12/11;;
278;302 - TERRASSEMENTS / V.R.D.;80 jours;Lun 30/05/11;Ven 16/09/11;;
279;Tâches Critiques;6 sm;Lun 30/05/11;Ven 08/07/11;301;280FD+30 jours
280;Tâches non ciritiques sur consignes OPC;4 sm;Lun 22/08/11;Ven 16/09/11;279FD+30 jours;282
281;303 - ESPACES VERTS;20 jours;Lun 19/09/11;Ven 14/10/11;;
282;Tâches non ciritiques sur consignes OPC;4 sm;Lun 19/09/11;Ven 14/10/11;280;
283;310 - GROS-ŒUVRE;90 jours;Lun 21/02/11;Ven 24/06/11;;
284;Tâches Critiques;6 sm;Lun 21/02/11;Ven 01/04/11;203DD+20 jours;"285;290;336DD;339DD;342DD"
285;Tâches non ciritiques sur consignes OPC;12 sm;Lun 04/04/11;Ven 24/06/11;284;
286;311 - DALLAGE INDUSTRIEL;130 jours;Lun 30/05/11;Ven 25/11/11;;
287;Tâches Critiques;3 sm;Lun 30/05/11;Ven 17/06/11;"294;302";"288FD+20 sm;315;312"
288;Tâches non ciritiques sur consignes OPC;3 sm;Lun 07/11/11;Ven 25/11/11;287FD+20 sm;
289;312 - CHARPENTE METALLIQUE;50 jours;Lun 04/04/11;Ven 10/06/11;;
290;Tâches Critiques;4 sm;Lun 04/04/11;Ven 29/04/11;284;"291;293;297;301"
291;Tâches non ciritiques sur consignes OPC;6 sm;Lun 02/05/11;Ven 10/06/11;290;
292;320 - COUVERTURE / ETANCHEITE;80 jours;Lun 02/05/11;Ven 19/08/11;;
293;Tâches Critiques;4 sm;Lun 02/05/11;Ven 27/05/11;290;294
294;HORS D'EAU;0 jour;Ven 27/05/11;Ven 27/05/11;293;"287;295"
295;Tâches non ciritiques sur consignes OPC;12 sm;Lun 30/05/11;Ven 19/08/11;294;
296;321 - MENUISERIE EXTERIEURE ALUMINIUM;90 jours;Lun 02/05/11;Ven 02/09/11;;
297;Tâches Critiques;6 sm;Lun 02/05/11;Ven 10/06/11;290;298
