"N° ";"Désignation";"Durée";"Début Souhaité";"Fin Souhaitée";"Prédécesseurs";"Successeurs";"Crit1";"Désign Crit1";"Crit2";"Désign Crit2";"Crit3";"Désign Crit3";"Crit4";"Désign Crit4";"Code tâche";"Coût +";"Coût -";
"30";"Z2 - Galerie liaison resto > Hébergemt";"8";"";"";"23FD0,";"";"P-02---";"Exécution des Travaux";"I-06---";"Lot n° 04 - Charpente Métal";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"15000";"";
"31";"Z3 - Galerie liaison Hébergemt Alzheimer";"8";"";"";"197FD0,";"";"P-02---";"Exécution des Travaux";"I-06---";"Lot n° 04 - Charpente Métal";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"10000";"";
"32";"Z3 - Charpente métal Jardin d'hiver";"10";"";"";"15FD0,";"";"P-02---";"Exécution des Travaux";"I-06---";"Lot n° 04 - Charpente Métal";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"66282.5";"";
"33";"Z1 - Etanchéité terrasses";"12";"";"";"23FD15,";"42FD0,71FD-4,158FD-5,";"P-02---";"Exécution des Travaux";"I-05---";"Lot n° 03 - Etanchéité";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"50000";"";
"34";"Z1 - Charpente métal Ht du RdC";"8";"";"";"23FD0,";"25FD0,";"P-02---";"Exécution des Travaux";"I-06---";"Lot n° 04 - Charpente Métal";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"9848.5";"";
"35";"Z2 - Charpente métal Ht du R+1";"5";"";"";"28FD0,";"45FD0,";"P-02---";"Exécution des Travaux";"I-06---";"Lot n° 04 - Charpente Métal";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"20000";"";
"36";"Z2 - Véture bardage bois";"10";"";"";"40FD0,";"";"P-02---";"Exécution des Travaux";"I-04---";"Lot n° 02 - Charpente bois - Ossature bois";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"12500";"";
"37";"Z3 - Véture bardage bois ou OSB";"10";"";"";"46FD0,";"39FD0,";"P-02---";"Exécution des Travaux";"I-04---";"Lot n° 02 - Charpente bois - Ossature bois";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"21207";"";
"38";"Z1 - Revêtements de facades TRESPA";"8";"";"";"42FD0,";"";"P-02---";"Exécution des Travaux";"I-04---";"Lot n° 02 - Charpente bois - Ossature bois";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"10680";"";
"39";"Z3 - Enduits monocouche sur OSB";"6";"";"";"37FD0,";"";"P-02---";"Exécution des Travaux";"I-07---";"Lot n° 05 - Enduit de facade, isolation";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"56712.5";"";
"40";"Z2 - Enduits monocouches facades";"12";"";"";"45FD0,";"36FD0,";"P-02---";"Exécution des Travaux";"I-07---";"Lot n° 05 - Enduit de facade, isolation";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"136110";"";
"41";"Appro coffres de volets roulants ";"2";"";"";"16FD0,";"";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"5000";"";
"42";"Z1 - Enduits monocouches facades";"10";"";"";"33FD0,";"38FD0,";"P-02---";"Exécution des Travaux";"I-07---";"Lot n° 05 - Enduit de facade, isolation";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"34027.5";"";
"43";"Z3 - Pose des volets roulants";"5";"";"";"52FD-3,";"";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"13000";"";
"44";"Z1 - Menuiseries extérieures, mise hors d'air";"15";"";"";"25FD0,";"";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"93345";"";
"45";"Z2 - Menuiseries extérieures, mise hors d'air";"25";"";"";"35FD0,";"40FD0,";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"155575";"";
"46";"Z3 - Menuiseries extérieures, mise hors d'air";"15";"";"";"27FD-10,";"37FD0,63FD-10,";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"62230";"";
"47";"Z2 - Pose des volets roulants";"8";"";"";"56FD-7,";"";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"30000";"";
"48";"Z1 - Pose des volets roulants";"5";"";"";"60FD-1,";"";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"5080";"";
"49";"Pose des brises soleil R+1 Heb. S & E";"10";"";"";"197FD0,";"";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-02---";"Zone 2 et 3 - Ensemble HEBERGEMENT";"R---";"RESSOURCES";"";"32400";"";
"50";"Pose des stores d'occultation brx + soins";"5";"";"";"157FD0,";"";"P-02---";"Exécution des Travaux";"I-08---";"Lot n° 06 - Menuiseries extérieures, vitrerie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"13500";"";
"51";"Z3 - Appro blocs portes & trappes visite";"1";"";"";"27FD0,";"";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"5000";"";
"52";"Z3 - Pose plinthes + mej portes";"6";"";"";"93FD0,";"43FD-3,";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"41332";"";
"53";"Z3 - Distributions des réseaux de VMC";"15";"";"";"96FD0,";"";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"54";"Z3 - Divers mains courantes, miroirs, propretés, protections, etc..";"5";"";"";"86FD0,";"";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"20697";"";
"55";"Z2 - Appro blocs portes & trappes visite";"1";"";"";"28FD0,";"";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"7664";"";
"56";"Z2 - Pose plinthes + mej portes";"15";"";"";"70FD-10,";"57FD0,47FD-7,";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"75000";"";
"57";"Z2 - Pose plans vasques";"12";"";"";"56FD0,";"58FD0,";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"27450";"";
"58";"Z2 - Divers mains courantes, miroirs, propretés, protections, etc..";"15";"";"";"57FD0,";"";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-02---";"Zone 2 et 3 - Ensemble HEBERGEMENT";"R---";"RESSOURCES";"";"68990";"";
"59";"Z1 - Appro blocs portes & trappes visite";"1";"";"";"29FD0,";"";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"4664";"";
"60";"Z1 - Pose plinthes + mej portes";"5";"";"";"73FD0,";"61FD0,48FD-1,";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"70000";"";
"61";"Z1 - Pose plans vasques";"3";"";"";"60FD0,";"62FD0,";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"1200";"";
"62";"Z1 - Divers mains courantes, miroirs, propretés, protections, etc..";"8";"";"";"61FD0,";"";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"47093";"";
"63";"Z3 - Cloisons phoniques séparatives chambres";"18";"";"";"27FD-10,46FD-10,";"64FD-8,100FD-15,111FD-10,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"26334";"";
"64";"Z3 - Doublages thermique 1/2 still";"10";"";"";"63FD-8,";"65FD-5,216FD0,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"12258";"";
"65";"Z3 - Plafond placo + Ldv 250";"15";"";"";"64FD-5,";"66FD-5,95FD0,97FD-10,98FD-10,205FD0,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"34944";"";
"66";"Z3 - Cloisons Sdb ";"15";"";"";"65FD-5,";"99FD-14,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"10275";"";
"67";"Z2 - Cloisons phoniques séparatives chambres";"30";"";"";"28FD0,";"68FD-10,136FD-10,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"52668";"";
"68";"Z2 - BA 13 collée sur murs façades";"20";"";"";"67FD-10,";"69FD-10,135FD0,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"24707";"";
"69";"Z2 - Plafond placo + Ldv 250";"25";"";"";"68FD-10,";"70FD-10,131FD0,133FD-15,134FD-15,206FD0,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"56888";"";
"70";"Z2 - Cloisons Sdb ";"25";"";"";"69FD-10,";"56FD-10,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"20557";"";
"71";"Z1 - Cloisons  séparatives";"15";"";"";"33FD-4,";"72FD-8,168FD-15,167FD-15,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"8778";"";
"72";"Z1 - BA 13 collée sur murs façades";"15";"";"";"71FD-8,";"73FD-2,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"4084";"";
"73";"Z1 - Plafond placo + Ldv 250";"6";"";"";"72FD-2,";"74FD0,60FD0,163FD0,165FD0,166FD-5,159FD0,207FD0,";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"11648";"";
"74";"Z1 - Faux plafonds dalles";"10";"";"";"73FD0,";"";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"13000";"";
"75";"Soffites, cornisches & caissons divers finitions placo Ens projet";"20";"";"";"129FD0,93FD0,161FD0,";"";"P-02---";"Exécution des Travaux";"I-10---";"Lot n° 08 - Cloisons doublages plafonds isolation";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"3425";"";
"76";"Z3 - Pose des syphons de sols SdB";"5";"";"";"93FD0,";"94FD0,112FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"3018.6";"";
"77";"Z3 - Ragréage des SdB";"2";"";"";"94FD0,";"78FD0,113FD0,";"P-02---";"Exécution des Travaux";"I-11---";"Lot n° 09 - Revêtement sols souples";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"0";"";
"78";"Z3 - Poncage chape des chambres";"4";"";"";"77FD0,";"81FD0,114FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"0";"";
"79";"Z3 - Pose des revêtements sols et murs SdB";"15";"";"";"81FD0,94FD15,";"80FD0,115FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"12921.75";"";
"80";"Z3 - Pose des plans vasques";"4";"";"";"79FD0,";"82FD0,116FD0,";"P-02---";"Exécution des Travaux";"I-09---";"Lot n° 07 - Menuiseries intérieures";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"6750";"";
"81";"Z3 - Préparation & peinture Plafonds + boiserie SdB";"8";"";"";"78FD0,";"79FD0,84FD0,117FD0,196FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"6091.5";"";
"82";"Z3 - Pose appareils sanitaires SdB";"8";"";"";"80FD0,";"83FD0,118FD0,208FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"12000";"";
"83";"Z3 - Pose appareils électriques";"5";"";"";"82FD0,";"119FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"11043.6";"";
"84";"Z3 - Préparations et peinture Plafonds chambres";"10";"";"";"81FD0,";"86FD0,120FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"9339";"";
"85";"Z3 - Pose appareillages électriques chambres";"8";"";"";"86FD0,";"102FD0,121FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"0";"";
"86";"Z3 - Peintures de finition sur murs et boiseries";"12";"";"";"84FD0,";"87FD0,85FD0,54FD0,122FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"87";"Z3 - Toile de verre et peinture circulations et locaux divers";"15";"";"";"86FD0,";"88FD0,103FD0,105FD0,123FD0,";"P-02---";"Exécution des Travaux";"I-13---";"Lot n° 11 - Peinture, miroiterie, signalétique";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"1756.5";"";
"88";"Z3 - Poncage sols circulations et locaux divers";"2";"";"";"87FD0,";"89FD0,124FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"";"";
"89";"Z3 - Sol durs et faïences sanitaires, offices";"5";"";"";"88FD0,";"90FD0,125FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"1000";"";
"90";"Z3 - Pose appareils sanitaires locaux communs";"3";"";"";"89FD0,";"126FD0,151FD0,210FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"14035";"";
"91";"Z3 - Chape de ravoirage ensemble des locaux";"3";"";"";"100FD0,99FD0,";"92FD0,127FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"9907.2";"";
"92";"Z3 - Pose du plancher chauffant chambres et locaux annexes";"15";"";"";"91FD0,";"93FD0,128FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"35591.6";"";
"93";"Z3 - Chape d'enrobage du plancher chauffant chambres + lcx annexes.";"5";"";"";"92FD0,";"76FD0,52FD0,129FD0,96FD0,75FD0,";"P-02---";"Exécution des Travaux";"I-12---";"Lot n° 10 - Revêtement se sols durs, faïences";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"20554";"";
